Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8457611089165356,0.002046281778037415,0.35940892253737844,0.19555110299594997,35.565888317206046,0.8367389152390616
2,0.9999999944823129,0.0015323805144954739,6.8512312568196506e-09,8.209711577841076e-10,35.23924298683474,0.8306452855382647
3,0.9966094448225838,0.0013621568087837659,0.046299144234671116,0.04194977289616775,33.722845415702494,0.7763073375565666
4,0.9992129051770483,0.001300982688986031,0.017257943376488335,0.01602576911060453,37.5925909989827,0.8783406818934849
5,1.0,0.0013084689802656483,5.215865532008339e-13,3.17399076861663e-13,36.19359799465283,0.8874702990395682
6,1.0,0.001236269025414783,5.000052926913112e-13,7.021636415572182e-13,37.534680013331865,0.8948899744238172
7,1.0,0.0012197908057964273,4.712499092815825e-13,1.5967455215604734e-13,37.77300843879131,0.8969621718951634
8,1.0,0.001215088827119741,3.91750811292114e-13,6.828820685738347e-13,37.62129980094032,0.8945030206952777
9,1.0,0.0011966311184722664,4.526416276597332e-12,5.906479065915234e-13,38.915383832129116,0.9042234214373998
